ID,Mood,Quote
72,Sad,When you feel like giving up. just remember the reason why you held on for so long.
73,Sad,The word 'happiness' would lose its meaning if it were not balanced by sadness. — Carl Jung
74,Sad,One cannot be deeply responsive to the world without being saddened very often. — Erich Fromm
75,Sad,Sadness is a warning. just as physical pain is a warning. We should learn how to manage it. — Alain de Botton
76,Sad,There are moments in life when you miss someone so much that you just want to pick them from your dreams and hug them for real. — Paulo Coelho
77,Sad,When you are happy. you enjoy the music. But. when you are sad. you understand the lyrics. — Frank Ocean
78,Sad,Experiencing sadness and anger can make you feel more creative. and by being creative. you can get beyond your pain or negativity. — Yoko Ono
79,Sad,Sadness is almost never anything but a form of fatigue. — Andre Gide
80,Sad,Sadness gives depth. Happiness gives height. Sadness gives roots. Happiness gives branches. Happiness is like a tree going into the sky. and sadness is like the roots going down into the womb of the earth. — Osho
81,Sad,It's easy to cry when you realize that everyone you love will reject you or die. — Chuck Palahniuk
82,Sad,Heavy hearts. like heavy clouds in the sky. are best relieved by the letting of a little water. — Christopher Morley
83,Sad,There is no greater sorrow than to recall happiness in times of misery. — Dante Alighieri
84,Sad,Your sadness is a gift. Don't reject it. Don't rush it. Live it fully and use it as fuel to change and grow. — Maxime Lagacé
85,Sad,Tears shed for another person are not a sign of weakness. They are a sign of a pure heart. — José N. Harris
86,Sad,Some days are just bad days. that's all. You have to experience sadness to know happiness. — Dita Von Teese
87,Sad,Our sweetest songs are those that tell of saddest thought. — Percy Bysshe Shelley
88,Sad,Sadness does not last forever when we walk in the direction of that which we always desired. — Paulo Coelho
89,Sad,The good times of today are the sad thoughts of tomorrow. — Bob Marley
90,Sad,You don't have to be strong all the time. Sometimes you just need to be alone and let your tears out.
91,Sad,Sometimes we need to cry out our tears to make room for our hearts to smile again.
92,Sad,No matter how hard the past was. you can always begin again. — Buddha
93,Sad,Don't let yesterday take up too much of today. — Will Rogers
94,Sad,Life is full of highs and lows. embrace them all and never stop growing.
95,Sad,This too shall pass. Life is too precious to be spent in sadness.
96,Sad,The walls we build around us to keep sadness out also keeps out the joy. — Jim Rohn
97,Sad,Behind every sad face. there's an untold story waiting to be heard.
98,Sad,It's okay to not be okay. Just don't give up.
99,Sad,Stars can't shine without darkness.
100,Sad,Tough times never last. but tough people do. — Robert H. Schuller
101,Stressed,One of the best pieces of advice I ever got was from a horse master. He told me to go slow to go fast. I think that applies to everything in life. We live as though there aren't enough hours in the day but if we do each thing calmly and carefully. we will get it done quicker and with much less stress. — Viggo Mortensen
102,Stressed,It's not the load that breaks you down. it's the way you carry it. — Lou Holtz
103,Stressed,You can't calm the storm. so stop trying. What you can do is calm yourself. The storm will pass. — Timber Hawkeye
104,Stressed,The greatest weapon against stress is our ability to choose one thought over another. — William James
105,Stressed,Do not anticipate trouble or worry about what may never happen. Keep in the sunlight. — Benjamin Franklin
106,Stressed,If you want to conquer the anxiety of life. live in the moment. live in the breath. — Amit Ray
107,Stressed,Calm mind brings inner strength and self-confidence. so that's very important for good health. — Dalai Lama
108,Stressed,Sometimes the most productive thing you can do is relax. — Mark Black
109,Stressed,Stress is caused by being ‘here' but wanting to be ‘there.' — Eckhart Tolle
110,Stressed,You must learn to let go. Release the stress. You were never in control anyway. — Steve Maraboli
111,Stressed,The time to relax is when you don't have time for it. — Sydney J. Harris
112,Stressed,Adopting the right attitude can convert a negative stress into a positive one. — Hans Selye
113,Stressed,Give your stress wings and let it fly away. — Terri Guillemets
114,Stressed,Tension is who you think you should be. Relaxation is who you are. — Chinese Proverb
115,Stressed,Your calm mind is the ultimate weapon against your challenges. So relax. — Bryant McGill
116,Stressed,Much of the stress that people feel doesn't come from having too much to do. It comes from not finishing what they started. — David Allen
117,Stressed,Rule number one is. don't sweat the small stuff. Rule number two is. it's all small stuff. — Robert Eliot
118,Stressed,Slow down and everything you are chasing will come around and catch you. — John De Paola
119,Stressed,Take life one sip at a time. — Matt Haig
120,Stressed,The best way to pay for a lovely moment is to enjoy it. — Richard Bach
121,Calm,The more tranquil a man becomes. the greater is his success. his influence. his power for good. — James Allen
122,Calm,Calmness is the cradle of power. — Josiah Gilbert Holland
123,Calm,Don't try to force anything. Let life be a deep let-go. God opens millions of flowers every day without forcing the buds. — Osho
124,Calm,Nothing can bring you peace but yourself. — Ralph Waldo Emerson
125,Calm,Peace comes from within. Do not seek it without. — Buddha
126,Calm,Do not let the behavior of others destroy your inner peace. — Dalai Lama
127,Calm,The nearer a man comes to a calm mind. the closer he is to strength. — Marcus Aurelius
128,Calm,He who is of a calm and happy nature will hardly feel the pressure of age. — Plato
129,Calm,There is a calmness to a life lived in gratitude. a quiet joy. — Ralph H. Blum
130,Calm,For fast-acting relief. try slowing down. — Lily Tomlin
131,Calm,The greatest prayer is patience. — Buddha
132,Calm,Life is 10% what happens to us and 90% how we react to it. — Charles R. Swindoll
133,Calm,Sometimes it's not the strength but gentleness that cracks the hardest shells. — Richard Paul Evans
134,Calm,Patience is the companion of wisdom. — Saint Augustine
135,Calm,Peace begins with a smile. — Mother Teresa
136,Motivated,The best way to predict the future is to create it. — Abraham Lincoln
137,Motivated,Don't watch the clock; do what it does. Keep going. — Sam Levenson
138,Motivated,You don't have to be great to start. but you have to start to be great. — Zig Ziglar
139,Motivated,Opportunities don't happen. you create them. — Chris Grosser
140,Motivated,Success is the sum of small efforts. repeated day in and day out. — Robert Collier
141,Motivated,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart. — Roy T. Bennett
142,Motivated,The secret of getting ahead is getting started. — Mark Twain
143,Motivated,Success is not final. failure is not fatal: It is the courage to continue that counts. — Winston Churchill
144,Motivated,Your time is limited. so don't waste it living someone else's life. — Steve Jobs
145,Motivated,Believe you can and you're halfway there. — Theodore Roosevelt
146,Motivated,The harder you work for something. the greater you'll feel when you achieve it.
147,Motivated,Perseverance is not a long race; it is many short races one after the other. — Walter Elliot
148,Motivated,Success usually comes to those who are too busy to be looking for it. — Henry David Thoreau
149,Motivated,What you get by achieving your goals is not as important as what you become by achieving your goals. — Zig Ziglar
150,Motivated,Dream big and dare to fail. — Norman Vaughan
151,Energized,The energy of the mind is the essence of life. — Aristotle
152,Energized,Passion is energy. Feel the power that comes from focusing on what excites you. — Oprah Winfrey
153,Energized,You are the only one who can limit your greatness.
154,Energized,Turn your energy into building what you love. not hating what you don't.
155,Energized,The more you lose yourself in something bigger than yourself. the more energy you will have. — Norman Vincent Peale
156,Energized,Positive energy knows no bounds. It radiates from within and changes everything in its path.
157,Energized,Energy and persistence conquer all things. — Benjamin Franklin
158,Energized,With the new day comes new strength and new thoughts. — Eleanor Roosevelt
159,Energized,A champion is someone who gets up when they can't. — Jack Dempsey
160,Energized,Your energy introduces you before you even speak.
161,Energized,It's not about having time. It's about making time.
162,Energized,Do not wait to strike till the iron is hot. but make it hot by striking. — William Butler Yeats
163,Energized,The sun himself is weak when he first rises. and gathers strength
164,Energized,The sun himself is weak when he first rises. and gathers strength and courage as the day gets on. — Charles Dickens
165,Energized,You are never too old to set another goal or to dream a new dream. — C.S. Lewis
166,Energized,The future depends on what you do today. — Mahatma Gandhi
167,Energized,The only way to do great work is to love what you do. — Steve Jobs
168,Energized,Keep your face always toward the sunshine—and shadows will fall behind you. — Walt Whitman
169,Energized,What lies behind us and what lies before us are tiny matters compared to what lies within us. — Ralph Waldo Emerson
170,Energized,Do something today that your future self will thank you for.
171,Energized,It does not matter how slowly you go as long as you do not stop. — Confucius
172,Energized,Success is walking from failure to failure with no loss of enthusiasm. — Winston S. Churchill
173,Energized,You have within you right now. everything you need to deal with whatever the world can throw at you. — Brian Tracy
174,Energized,Life is 10% what happens to us and 90% how we react to it. — Charles R. Swindoll
175,Energized,You miss 100% of the shots you don't take. — Wayne Gretzky
176,Energized,Success is not how high you have climbed. but how you make a positive difference to the world. — Roy T. Bennett
177,Energized,The difference between a successful person and others is not a lack of strength. not a lack of knowledge. but rather a lack in will. — Vince Lombardi
178,Energized,The best revenge is massive success. — Frank Sinatra
179,Energized,Life is not about finding yourself. Life is about creating yourself. — George Bernard Shaw
180,Energized,The only limit to our realization of tomorrow will be our doubts of today. — Franklin D. Roosevelt
181,Energized,Start where you are. Use what you have. Do what you can. — Arthur Ashe
182,Energized,To live is the rarest thing in the world. Most people exist. that is all. — Oscar Wilde
183,Energized,Success is not just about what you accomplish in your life. it's about what you inspire others to do. — Unknown
184,Energized,You don't have to be great to start. but you have to start to be great. — Zig Ziglar
185,Energized,The road to success and the road to failure are almost exactly the same. — Colin R. Davis
186,Energized,In order to succeed. your desire for success should be greater than your fear of failure. — Bill Cosby
187,Energized,What we fear doing most is usually what we most need to do. — Tim Ferriss
188,Energized,Your limitation—it's only your imagination.
189,Energized,Push yourself. because no one else is going to do it for you.
190,Energized,Great things never come from comfort zones.
191,Energized,Dream it. Wish it. Do it.
192,Energized,Success doesn't just find you. You have to go out and get it.
193,Energized,The harder you work for something. the greater you'll feel when you achieve it.
194,Energized,Dream bigger. Do bigger.
195,Energized,Don't stop when you're tired. Stop when you're done.
196,Energized,Wake up with determination. Go to bed with satisfaction.
197,Energized,Do what you can with all you have. wherever you are. — Theodore Roosevelt
198,Energized,The future belongs to those who believe in the beauty of their dreams. — Eleanor Roosevelt
199,Energized,Hardships often prepare ordinary people for an extraordinary destiny. — C.S. Lewis
200,Energized,Success is the sum of small efforts. repeated day in and day out. — Robert Collier
201,Happy,The only way to do great work is to love what you do. — Steve Jobs
202,Happy,Count your rainbows. not your thunderstorms.
203,Happy,Happiness is not something ready-made. It comes from your own actions. — Dalai Lama
204,Happy,The purpose of our lives is to be happy. — Dalai Lama
205,Happy,Be happy for this moment. This moment is your life. — Omar Khayyam
206,Happy,Happiness is not by chance. but by choice. — Jim Rohn
207,Happy,The most important thing is to enjoy your life—to be happy. It's all that matters. — Audrey Hepburn
208,Happy,Happiness is a warm puppy. — Charles M. Schulz
209,Happy,The best way to cheer yourself up is to try to cheer somebody else up. — Mark Twain
210,Happy,For every minute you are angry you lose sixty seconds of happiness. — Ralph Waldo Emerson
211,Happy,Laughter is the sun that drives winter from the human face. — Victor Hugo
212,Happy,The greatest discovery of my generation is that a human being can alter his life by altering his attitude. — William James
213,Happy,Keep your face always toward the sunshine—and shadows will fall behind you. — Walt Whitman
214,Happy,The best is yet to come. — Frank Sinatra
215,Happy,Do more of what makes you happy.
216,Happy,Happiness is not having what you want. It is appreciating what you have.
217,Happy,The only limit to our realization of tomorrow will be our doubts of today. — Franklin D. Roosevelt
218,Happy,The joy of life is becoming a person you are proud of.
219,Happy,A happy mind is a constant feast.
220,Happy,Happiness can be found even in the darkest of times if one only remembers to turn on the light. — Albus Dumbledore
221,Happy,Life is short. and it's up to you to make it sweet. — Sarah Louise Delany
222,Happy,Your happiness is a reflection of your mindset.
223,Happy,The happiness of your life depends on the quality of your thoughts. — Marcus Aurelius
224,Happy,Choose to be happy. and happiness will choose you.
225,Happy,Smiles are free but they are worth a lot.
226,Sad,Tears are words the heart can't express.
227,Sad,The greatest pain that comes from love is loving someone you can never have.
228,Sad,Sadness flies away on the wings of time. — Jean de La Fontaine
229,Sad,It's okay to be sad sometimes.
230,Sad,The soul would have no rainbow if the eyes had no tears. — John Vance Cheney
231,Sad,Don't cry because it's over. smile because it happened. — Dr. Seuss
232,Sad,Sadness is but a wall between two gardens. — Khalil Gibran
233,Sad,The only thing more exhausting than being sad is pretending that you're not.
234,Sad,You can't stop the waves. but you can learn to surf. — Jon Kabat-Zinn
235,Sad,Sometimes. you need to take a break from everyone and spend time alone to experience life.
236,Sad,It's okay to be a glowstick; sometimes we have to break before we shine.
237,Sad,Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad. — Henry Wadsworth Longfellow
238,Sad,We are all in the gutter. but some of us are looking at the stars. — Oscar Wilde
239,Sad,You can't heal a wound by saying it's not there.
240,Sad,When it rains. look for rainbows. When it's dark. look for stars. — Oscar Wilde
241,Sad,Sadness is also a kind of happiness.
242,Sad,The best way out is always through. — Robert Frost
243,Sad,Every day may not be good. but there is something good in every day. — Alice Morse Earle
244,Sad,The wound is the place where the Light enters you. — Rumi
245,Sad,Sadness is not a sign of weakness. but of strength.
246,Stressed,Stressed? It's just a feeling. not a definition.
247,Stressed,It's not the load that breaks you down. it's the way you carry it. — Lou Holtz
248,Stressed,Sometimes the most productive thing you can do is relax.
249,Stressed,Stress is not what happens to us. It's our response to what happens. And response is something we can choose. — Maureen Killoran
250,Stressed,Take a deep breath. it's just a bad day. not a bad life.
251,Stressed,Stress less. live more.
252,Stressed,Keep your mind calm and your heart open.
253,Stressed,Don't let yesterday take up too much of today. — Will Rogers
254,Stressed,Stress is an illusion. It's how we perceive our circumstances.
255,Stressed,Almost everything will work again if you unplug it for a few minutes. including you. — Anne Lamott
256,Stressed,You can't control everything. Sometimes you just need to relax and have faith that things will work out.
257,Stressed,In times of stress. remember that you are not alone.
258,Stressed,The time to relax is when you don't have time for it. — Sidney J. Harris
259,Stressed,When you feel overwhelmed. remember: the storm will pass.
260,Stressed,You can do anything. but not everything. — David Allen
261,Calm,Calmness is the cradle of power. — Josiah Gilbert Holland
262,Calm,Nothing can bring you peace but yourself. — Ralph Waldo Emerson
263,Calm,In the midst of movement and chaos. keep stillness inside of you. — Deepak Chopra
264,Calm,Peace is not the absence of conflict. but the ability to cope with it. — Dorothy Thomas
265,Calm,The quieter you become. the more you can hear. — Ram Dass
266,Calm,Serenity is not found in the absence of turmoil. but in how we navigate through it.
267,Calm,Sometimes you just need to take a break and relax.
268,Calm,Stillness is where the magic happens.
269,Calm,Letting go creates an opening for the unknown.
270,Calm,Calmness is the ultimate state of mind.
271,Calm,A calm mind brings inner strength and self-confidence.
272,Calm,The greatest weapon against stress is our ability to choose one thought over another. — William James
273,Calm,Breathe in peace. breathe out chaos.
274,Calm,Stillness is where the magic happens.
275,Calm,True peace comes from within.
276,Calm,When everything seems to be going against you. remember that the airplane takes off against the wind. — Henry Ford
277,Calm,Inhale peace. exhale tension.
278,Calm,The mind is everything. What you think. you become. — Buddha
279,Calm,Choose calm over chaos.
280,Calm,With calmness. there is clarity.
281,Happy,The best way to predict your future is to create it. — Abraham Lincoln
282,Happy,Happiness is a choice. and I choose to be happy.
283,Happy,Joy is not in things; it is in us. — Richard Wagner
284,Happy,Happiness is contagious; pass it on!
285,Happy,There is no path to happiness; happiness is the path. — Buddha
286,Happy,You deserve to be happy. You deserve to live a life you love.
287,Happy,The happiest people don't have the best of everything; they make the best of everything.
288,Happy,Let your smile change the world. but don't let the world change your smile.
289,Happy,Your smile is your logo. your personality is your business card. and how you leave others feeling after an experience with you becomes your trademark. — Jay Danzie
290,Happy,Happiness blooms from within.
291,Happy,Create your own sunshine.
292,Happy,Life is a collection of moments. Make them count.
293,Happy,Happiness is a direction. not a place.
294,Happy,You bring happiness wherever you go.
295,Happy,Happiness is the highest form of health. — Dalai Lama
296,Happy,Let your heart be your compass.
297,Happy,The happiness you feel is in direct proportion to the love you give.
298,Happy,Be a voice. not an echo.
299,Happy,Embrace the glorious mess that you are.
300,Happy,Choose joy. even in the mundane.
301,Sad,Sadness is a friend that teaches us to appreciate joy.
302,Sad,The best way to heal a broken heart is to give God all the pieces. — Unknown
303,Sad,Every cloud has a silver lining.
304,Sad,In the middle of difficulty lies opportunity. — Albert Einstein
305,Sad,Your present situation is not your final destination.
306,Sad,It's okay to feel sad. It's part of being human.
307,Sad,Pain is temporary; quitting lasts forever.
308,Sad,This too shall pass.
309,Sad,Stars can't shine without darkness.
310,Sad,Sadness is just a state of mind.
311,Sad,When you're lost in the dark. just remember you're not alone.
312,Sad,Courage is the ability to face sadness and continue.
313,Sad,Sometimes the bravest and most important thing you can do is just show up. — Brené Brown
314,Sad,Your sadness is valid; feel it and then let it go.
315,Sad,Grief is the price we pay for love. — Queen Elizabeth II
316,Sad,Even the darkest night will end and the sun will rise. — Victor Hugo
317,Sad,Behind every cloud. the sun is still shining.
318,Sad,No rain. no flowers.
319,Sad,Sometimes. you have to take a step back to see the bigger picture.
320,Sad,Life is a balance of holding on and letting go.
321,Stressed,Stress is caused by being ‘here' but wanting to be ‘there'.
322,Stressed,Sometimes you need to disconnect to reconnect.
323,Stressed,Do not anticipate trouble. or worry about what may never happen. — Benjamin Franklin
324,Stressed,Stress should be a powerful driving force. not an obstacle.
325,Stressed,The greatest weapon against stress is our ability to choose one thought over another. — William James
326,Stressed,The pressure you feel is not as strong as your ability to cope.
327,Stressed,Take a deep breath; it's just a bad day. not a bad life.
328,Stressed,Feelings are just visitors. Let them come and go.
329,Stressed,A calm mind brings inner strength and self-confidence.
330,Stressed,The mind is everything. What you think. you become. — Buddha
331,Calm,Tranquility is the perfect state of mind.
332,Calm,Letting go is the hardest as well as the easiest thing to do.
333,Calm,Calmness is the cradle of power.
334,Calm,Still waters run deep.
335,Calm,Calmness and composure are the secrets of success.
336,Calm,In calmness. you find clarity.
337,Calm,Inner peace begins the moment you choose not to allow another person or event to control your emotions. — Unknown
338,Calm,The greatest step towards a life of simplicity is to learn to let go.
339,Calm,With calmness. you can think more clearly.
340,Calm,Nature does not hurry. yet everything is accomplished. — Lao Tzu
341,Calm,Seek peace and pursue it.
342,Calm,A calm sea does not make a skilled sailor.
343,Calm,Be like water. my friend. — Bruce Lee
344,Calm,In the midst of chaos. there is always an opportunity for serenity.
345,Calm,When you have peace in your heart. you can walk through any storm.
346,Calm,You are allowed to be both a masterpiece and a work in progress. simultaneously.
347,Calm,Peace comes from within; do not seek it without. — Buddha
348,Calm,The soul always knows what to do to heal itself. The challenge is to silence the mind. — Caroline Myss
349,Calm,Embrace the stillness; it's where the magic happens.
350,Calm,Take a breath. it's just a moment.
351,Happy,Happiness is not something ready-made. It comes from your own actions. — Dalai Lama
352,Happy,The purpose of our lives is to be happy. — Dalai Lama
353,Happy,Count your age by friends. not years. Count your life by smiles. not tears. — John Lennon
354,Happy,The most important decision you make is to be in a good mood. — Voltaire
355,Happy,Smile. it is the key that fits the lock of everybody's heart. — Anthony J. D'Angelo
356,Happy,The greatest pleasure in life is doing what people say you cannot do. — Walter Bagehot
357,Happy,Happiness is the art of never holding in your mind the memory of any unpleasant thing. — Anonymous
358,Happy,Happiness is a warm puppy. — Charles M. Schulz
359,Happy,Every day may not be good. but there's something good in every day. — Alice Morse Earle
360,Happy,Success is getting what you want. Happiness is wanting what you get. — Dale Carnegie
361,Happy,The key to happiness is letting each situation be what it is instead of what you think it should be.
362,Happy,The most wasted of days is one without laughter. — E.E. Cummings
363,Happy,Find ecstasy in life; the mere sense of living is joy enough. — Emily Dickinson
364,Happy,Happiness is not a goal; it is a by-product. — Eleanor Roosevelt
365,Happy,Do more of what makes you happy.
366,Happy,You are never fully dressed without a smile. — Martin Charnin
367,Happy,Happiness is a journey. not a destination.
368,Happy,Collect moments. not things.
369,Happy,Life is short. Smile while you still have teeth.
370,Happy,Life is like a camera. Focus on what's important. capture the good times. develop from the negatives.
371,Sad,Tears are words that need to be written. — Paulo Coelho
372,Sad,Sadness is a healer; it prepares you for the good.
373,Sad,Every sunset brings the promise of a new dawn. — Ralph Waldo Emerson
374,Sad,Sadness flies away on the wings of time. — Jean de La Fontaine
375,Sad,Sorrow is one of the vibrations that prove the fact of living. — Antoine de Saint-Exupéry
376,Sad,Pain is inevitable. Suffering is optional. — Haruki Murakami
377,Sad,There is no remedy for love but to love more. — Henry David Thoreau
378,Sad,Sometimes. you just need to take a break and breathe.
379,Sad,It's okay to feel lost sometimes; it's how you find your way.
380,Sad,Don't cry because it's over. smile because it happened. — Dr. Seuss
381,Sad,The wound is the place where the Light enters you. — Rumi
382,Sad,Sadness is but a wall between two gardens. — Kahlil Gibran
383,Sad,There's a crack in everything; that's how the light gets in. — Leonard Cohen
384,Sad,Grief is like a river; it ebbs and flows.
385,Sad,When it rains. look for rainbows. When it's dark. look for stars.
386,Sad,It's okay to not be okay.
387,Sad,The only way to get through it is to get through it.
388,Sad,Healing takes time. and asking for help is a courageous step.
389,Sad,Sadness is an ocean. and sometimes you have to swim through it.
390,Sad,To weep is to make less the depth of grief. — William Shakespeare
391,Stressed,The greatest weapon against stress is our ability to choose one thought over another.
392,Stressed,Stress is not what happens to us. It's our response to what happens. — Maureen Killoran
393,Stressed,Keep calm and carry on.
394,Stressed,Take a deep breath. It's just a bad day. not a bad life.
395,Stressed,You can't stop the waves. but you can learn to surf. — Jon Kabat-Zinn
396,Stressed,Take a break. It's okay to step back.
397,Stressed,Breathe deeply; it's just a moment.
398,Stressed,Worry is like a rocking chair; it gives you something to do but gets you nowhere. — Glenn Turner
399,Stressed,Let go of the stress; it's not worth it.
400,Stressed,Life is too important to be taken seriously. — Oscar Wilde
401,Calm,A calm mind brings inner strength and self-confidence.
402,Calm,The quieter you become. the more you can hear. — Ram Dass
403,Calm,Calmness is the cradle of power.
404,Calm,Peace is not the absence of conflict. but the ability to cope with it. — Mahatma Gandhi
405,Calm,Serenity is not found in a place but in the heart.
406,Calm,The only way to find peace is to create it.
407,Calm,Wherever you go. go with all your heart. — Confucius
408,Calm,Stay calm and enjoy the moment.
409,Calm,Let your mind be still.
410,Calm,Life is like water; it flows. bends. and shapes to fit.
411,Calm,In the midst of movement and chaos. keep stillness inside of you. — Deepak Chopra
412,Calm,Peace of mind is not the absence of conflict but the ability to cope with it.
413,Calm,Calm is a superpower.
414,Calm,Take a deep breath. and let it all go.
415,Calm,Life becomes easier when you learn to relax.
416,Calm,Simplicity brings calmness.
417,Calm,Inhale peace. exhale worry.
418,Calm,Your calm mind is the ultimate weapon against your challenges.
419,Calm,Find your calm and let it guide you.
420,Calm,Calmness is the beauty of the mind.
421,Happy,Happiness is a choice. You can choose to be happy.
422,Happy,Joy is not in things; it is in us. — Richard Wagner
423,Happy,Happiness is a butterfly. which when pursued. is always just beyond your grasp. — Nathaniel Hawthorne
424,Happy,Be happy for this moment. This moment is your life. — Omar Khayyam
425,Happy,The best way to cheer yourself is to try to cheer someone else up. — Mark Twain
426,Happy,Happiness is the secret to all beauty. There is no beauty without happiness. — Christian Dior
427,Happy,Happiness blooms from within.
428,Happy,Your happiness is your own creation.
429,Happy,Let your smile change the world. but don't let the world change your smile.
430,Happy,Happiness is not a destination. it's a way of life.
431,Happy,The only thing that can ruin a happy moment is your mind.
432,Happy,Radiate positivity and happiness.
433,Happy,Happiness is like a kiss. You must share it to enjoy it.
434,Happy,A smile is a curve that sets everything straight.
435,Happy,Happiness is found when you stop comparing yourself to other people.
436,Happy,To be happy. we must not be too concerned with others.
437,Happy,Happiness is the highest good.
438,Happy,Be happy and a reason will come along.
439,Happy,True happiness comes from within.
440,Happy,The most effective way to do it. is to do it. — Amelia Earhart
441,Sad,Sadness is but a shadow; it cannot last.
442,Sad,Even the darkest night will end. and the sun will rise. — Victor Hugo
443,Sad,Sadness is a state of mind that can be changed.
444,Sad,Pain is temporary; quitting lasts forever. — Lance Armstrong
445,Sad,Out of difficulties grow miracles. — Jean de La Bruyère
446,Sad,The sun will rise again. and it will shine brighter.
447,Sad,Sadness is only temporary; it cannot last forever.
448,Sad,This too shall pass.
449,Sad,Every disappointment is a step towards a greater opportunity.
450,Sad,There is a crack in everything; that's how the light gets in. — Leonard Cohen
